longitude,latitude,housing_median_age,ocean_proximity,median_house_value,total_rooms_log,total_bedrooms_log,population_log,households_log,median_income_log
-122.23,37.88,41.0,NEAR BAY,452600.0,6.78105762593618,4.867534450455582,5.777652323222656,4.844187086458591,2.23272041302106
-122.22,37.86,21.0,NEAR BAY,358500.0,8.867850063029406,7.009408932708637,7.784057002639929,7.037905963447182,2.2301649264639662
-122.24,37.85,52.0,NEAR BAY,352100.0,7.291656209174461,5.25227342804663,6.208590026096629,5.181783550292085,2.111109768006633
-122.25,37.85,52.0,NEAR BAY,341300.0,7.150701457592526,5.4638318050256105,6.326149473155099,5.393627546352362,1.893578722009513
-122.25,37.85,52.0,NEAR BAY,342200.0,7.395107546562485,5.638354669333745,6.338594078203183,5.560681631015528,1.5781948926941685
-122.25,37.85,52.0,NEAR BAY,269700.0,6.824373670043086,5.365976015021851,6.025865973825314,5.267858159063328,1.6167709598008924
-122.25,37.84,52.0,NEAR BAY,299200.0,7.8383433155571165,6.194405391104672,6.9985096422506015,6.244166900663736,1.5388222964377556
-122.25,37.84,52.0,NEAR BAY,241400.0,8.040768994367578,6.5337888379333435,7.05444965813294,6.473890696352274,1.415853163361435
-122.26,37.84,42.0,NEAR BAY,226700.0,7.846198815497425,6.501289670540389,7.095893221097532,6.39024066706535,1.125059458682958
-122.25,37.84,52.0,NEAR BAY,261100.0,8.174702882469461,6.56244409369372,7.347299700743164,6.5722825426940075,1.5456884132701407
-122.26,37.85,52.0,NEAR BAY,281500.0,7.697575346802343,6.075346031088684,6.814542897259958,5.998936561946683,1.4358223482690877
-122.26,37.85,52.0,NEAR BAY,241800.0,8.161660452056282,6.6240652277998935,7.316548177182976,6.5998704992128365,1.4517309164040648
-122.26,37.85,52.0,NEAR BAY,213500.0,7.820840879907344,6.163314804034641,7.002155954403621,6.150602768446279,1.404870746692826
-122.26,37.84,52.0,NEAR BAY,191300.0,6.546785410760524,5.2574953720277815,5.846438775057725,5.1647859739235145,1.3011721077030556
-122.26,37.85,52.0,NEAR BAY,159200.0,7.880048200971577,6.440946540632921,7.10085190894405,6.431331081933479,1.0704528402075364
-122.26,37.85,50.0,NEAR BAY,140000.0,7.02197642307216,5.648974238161206,6.548219102762372,5.579729825986222,1.1394342831883648
-122.27,37.85,52.0,NEAR BAY,152500.0,7.584264818389059,5.8522024797744745,6.677083461247136,5.805134968916488,1.328400382700988
-122.27,37.85,52.0,NEAR BAY,155500.0,7.113956109566034,5.683579767338681,6.47543271670409,5.717027701406222,1.137897102331012
-122.26,37.84,50.0,NEAR BAY,158700.0,7.7142311448490855,6.1224928095143865,6.898714534329988,6.040254711277414,1.0956412127231556
-122.27,37.84,52.0,NEAR BAY,162900.0,7.315883504509785,5.700443573390687,6.53813982376767,5.62040086571715,1.2818500922464173
-122.27,37.85,40.0,NEAR BAY,147500.0,6.62273632394984,5.220355825078324,6.016157159698354,5.117993812416755,0.85772898087589
-122.27,37.85,42.0,NEAR BAY,159800.0,7.402451520818244,5.908082938168931,6.835184586147301,5.905361848054571,0.9982393145213225
-122.27,37.84,52.0,NEAR BAY,113900.0,7.798523053625206,6.295266001439646,6.923628628138427,6.171700597410915,1.0024684281152074
-122.27,37.84,52.0,NEAR BAY,99700.0,7.4318919168078,5.823045895483019,6.74993119378857,5.786897381366708,1.1570698582396783
-122.27,37.84,52.0,NEAR BAY,132600.0,7.707512194600341,6.082218910376446,6.914730892718563,6.0473721790462776,1.2809338454620642
-122.28,37.85,41.0,NEAR BAY,107500.0,6.284134161070802,4.820281565605037,5.762051382780177,4.787491742782046,1.2248924545784394
-122.28,37.85,49.0,NEAR BAY,93800.0,7.030857476116121,5.501258210544727,6.410174881966167,5.480638923341991,1.2411818801082075
-122.28,37.85,52.0,NEAR BAY,105500.0,7.549082710812286,6.045005314036012,7.005789019253503,5.986452005284438,1.0324724861635646
-122.28,37.84,50.0,NEAR BAY,108900.0,7.641564441260972,6.20050917404269,7.0317412587631285,6.161207321695077,0.9716875950944428
-122.28,37.84,52.0,NEAR BAY,132000.0,6.593044534142437,5.081404364984463,5.981414211254481,5.049856007249537,0.9886113934537812
-122.28,37.84,49.0,NEAR BAY,122300.0,7.558516743045645,6.104793232414985,6.761572768804055,5.937536205082426,1.0741146570677094
-122.28,37.84,52.0,NEAR BAY,115200.0,7.675081857716334,6.1779441140506,7.063903961472068,6.091309882077698,1.0856958967348829
-122.27,37.84,48.0,NEAR BAY,110400.0,7.56164174558878,6.016157159698354,6.934397209928558,5.817111159963204,1.0285116609886207
-122.27,37.83,49.0,NEAR BAY,104900.0,7.412160334945205,5.905361848054571,6.626717749249025,5.799092654460526,0.8649974374866045
-122.27,37.83,51.0,NEAR BAY,109700.0,7.888334500738654,6.354370040797351,7.138073034044347,6.285998094508865,1.3164886593759129
-122.27,37.83,49.0,NEAR BAY,97200.0,7.103322062526113,5.645446897643238,6.3473892096560105,5.579729825986222,0.9107152175409694
-122.27,37.83,48.0,NEAR BAY,104500.0,7.4949862339505335,6.07073772800249,6.895682697747868,5.926926025970411,0.7406031217162405
-122.28,37.83,52.0,NEAR BAY,103900.0,7.321188556739478,5.968707559985366,6.804614520062624,6.0014148779611505,0.8797512210832069
-122.26,37.83,52.0,NEAR BAY,191400.0,7.293697720601438,5.802118375377063,6.536691597591305,5.736572297479192,1.4996230464268938
-122.26,37.83,52.0,NEAR BAY,176000.0,7.796880342783522,6.573680166960646,7.228388451573604,6.546785410760524,1.2780964906419041
-122.26,37.83,52.0,NEAR BAY,155400.0,7.418180822726788,6.040254711277414,6.853299093186078,5.981414211254481,1.1306921821315212
-122.26,37.83,51.0,NEAR BAY,150000.0,6.842683282238422,5.7430031878094825,6.249975242259483,5.521460917862246,0.8264535478681704
-122.26,37.84,49.0,NEAR BAY,118800.0,6.570882962339584,5.313205979041787,6.137727054086234,5.247024072160486,0.7055697005585024
-122.26,37.84,52.0,NEAR BAY,188800.0,6.85751406254539,5.313205979041787,6.148468295917647,5.293304824724492,1.602272300649189
-122.26,37.83,52.0,NEAR BAY,184400.0,7.275172319452771,5.7430031878094825,6.493753839851686,5.680172609017068,1.3894144884561344
-122.26,37.83,52.0,NEAR BAY,182300.0,7.4127640174265625,6.042632833682381,6.577861357721047,5.948034989180646,1.3020428086722995
-122.26,37.83,50.0,NEAR BAY,142500.0,7.026426808699636,5.777652323222656,6.424869023905388,5.720311776607412,1.1072416153661642
-122.27,37.82,43.0,NEAR BAY,137500.0,6.915723448631314,5.746203190540153,6.326149473155099,5.537334267018537,1.0060583070575018
-122.26,37.82,40.0,NEAR BAY,187500.0,6.437751649736401,5.278114659230517,6.049733455231958,5.081404364984463,0.6681370175557775
-122.27,37.82,40.0,NEAR BAY,112500.0,6.853299093186078,5.929589143389895,6.55250788703459,5.8664680569332965,1.0206507471983979
-122.27,37.82,21.0,NEAR BAY,171900.0,6.799055862058796,6.118097198041348,6.601230118728877,6.0844994130751715,0.6532622468610304
-122.27,37.82,43.0,NEAR BAY,93800.0,7.533158807455563,6.124683390894205,6.967909201801884,6.0112671744041615,0.9180891138155344
-122.27,37.82,41.0,NEAR BAY,97500.0,8.07775756373692,6.74993119378857,7.580699752224563,6.580639137284949,0.7470670225493757
-122.27,37.82,52.0,NEAR BAY,104200.0,7.396948602621014,6.124683390894205,7.0587581525186645,5.993961427306569,0.8098184873636383
-122.28,37.82,52.0,NEAR BAY,87499.99999999999,7.065613363597717,5.4638318050256105,6.553933404025811,5.455321115357702,0.9592735900460094
-122.28,37.82,52.0,NEAR BAY,83099.99999999999,6.852242569051878,5.497168225293202,6.3578422665081,5.3981627015177525,0.8801660211555224
-122.28,37.82,52.0,NEAR BAY,87499.99999999999,7.122059881629142,5.666426688112432,6.434546518787453,5.560681631015528,0.9185681366181956
-122.28,37.82,52.0,NEAR BAY,85300.0,7.306531398939505,5.817111159963204,6.591673732008658,5.501258210544727,0.5972968549031111
-122.28,37.82,52.0,NEAR BAY,80300.0,7.23561914106675,5.834810737062605,6.980075940561763,5.720311776607412,0.7962000356160274
